epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1674.26,0.86881,4.02727,1.20618,0.23797,0.49929,0.2899,0.23427,0.80029,3.46088,1.09266,0.000174937,0.000174937,0.000174937
2,3149.08,0.76696,2.93827,1.08974,0.50402,0.49511,0.49621,0.4067,0.8011,2.60495,1.09465,0.000315593,0.000315593,0.000315593
3,4740.59,0.75521,2.3082,1.06548,0.5675,0.63101,0.60665,0.5085,0.74674,2.10336,1.0725,0.000421534,0.000421534,0.000421534
4,6438.64,0.71192,1.76322,1.04288,0.80517,0.6688,0.76868,0.64559,0.73181,1.48433,1.05303,0.000369778,0.000369778,0.000369778
5,8379.72,0.68049,1.40432,1.0216,0.84632,0.72737,0.81593,0.69444,0.70611,1.22979,1.01904,0.000317704,0.000317704,0.000317704
6,10281.9,0.65285,1.16801,1.00077,0.8466,0.76343,0.86129,0.73295,0.66876,1.06163,1.00514,0.00026563,0.00026563,0.00026563
7,12679.3,0.62503,0.99257,0.98614,0.86547,0.79681,0.87919,0.7443,0.66068,0.93705,0.99947,0.000213556,0.000213556,0.000213556
8,15465.4,0.60982,0.9044,0.9744,0.92488,0.79578,0.88343,0.75611,0.63491,0.83953,0.98412,0.000161482,0.000161482,0.000161482
9,18102,0.57938,0.80534,0.95737,0.94275,0.81377,0.90735,0.77582,0.6313,0.77068,0.97051,0.000109408,0.000109408,0.000109408
10,20741.2,0.56017,0.74796,0.94886,0.94224,0.83151,0.91657,0.78786,0.61377,0.72949,0.96498,5.7334e-05,5.7334e-05,5.7334e-05
